rankbreeze_Id,rental_id,orig_price_per_night,cleaning_fee,service_fee,total_price,price_per_night,check_in_date,check_out_date
51045,862225236403589050,225.0,270.0,113.0,911.0,132.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,299.0,164.0,1329.0,217.0,2024-06-11,2024-06-15
51045,862225236403589050,420.0,424.0,188.0,1518.0,227.0,2024-06-11,2024-06-15
51045,862225236403589050,435.0,561.0,229.0,1848.0,265.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,350.0,143.0,1157.0,166.0,2024-06-11,2024-06-15
51045,862225236403589050,301.0,297.0,170.0,1373.0,227.0,2024-06-11,2024-06-15
51045,862225236403589050,343.0,339.0,189.0,1529.0,250.0,2024-06-11,2024-06-15
51045,862225236403589050,276.0,380.0,183.0,1478.0,229.0,2024-06-11,2024-06-15
51045,862225236403589050,371.0,419.0,237.0,1917.0,315.0,2024-06-11,2024-06-15
51045,862225236403589050,402.0,469.0,248.0,2003.0,322.0,2024-06-11,2024-06-15
51045,862225236403589050,232.0,299.0,151.0,1223.0,193.0,2024-06-11,2024-06-15
51045,862225236403589050,499.0,419.0,277.0,2237.0,385.0,2024-06-11,2024-06-15
51045,862225236403589050,506.0,495.0,288.0,2330.0,387.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,295.0,233.0,1883.0,339.0,2024-06-11,2024-06-15
51045,862225236403589050,412.0,299.0,215.0,1735.0,305.0,2024-06-11,2024-06-15
51045,862225236403589050,322.0,299.0,179.0,1448.0,243.0,2024-06-11,2024-06-15
51045,862225236403589050,369.0,400.0,237.0,1913.0,319.0,2024-06-11,2024-06-15
51045,862225236403589050,524.0,519.0,299.0,2414.0,399.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,495.0,288.0,0.0,0.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,400.0,237.0,0.0,0.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,419.0,277.0,0.0,0.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,450.0,241.0,1951.0,315.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,339.0,189.0,0.0,0.0,2024-06-11,2024-06-15
51045,862225236403589050,259.0,299.0,173.0,1397.0,231.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,299.0,151.0,0.0,0.0,2024-06-11,2024-06-15
51045,862225236403589050,348.0,419.0,218.0,1764.0,282.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,469.0,248.0,0.0,0.0,2024-06-11,2024-06-15
51045,862225236403589050,388.0,369.0,232.0,1877.0,319.0,2024-06-11,2024-06-15
51045,862225236403589050,262.0,299.0,173.0,1397.0,231.0,2024-06-11,2024-06-15
51045,862225236403589050,426.0,425.0,209.0,1690.0,264.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,270.0,159.0,1287.0,215.0,2024-06-11,2024-06-15
51045,862225236403589050,0.0,265.0,135.0,1091.0,173.0,2024-06-11,2024-06-15
